trafico,subjetividad,polaridad,fecha_hora
64,0.08133680555555556,0.01092763573232323,2019-04-10 14:26:00
74,0.07991741741741741,0.009293099918099918,2019-04-10 14:27:00
70,0.061269841269841266,0.012770562770562769,2019-04-10 14:28:00
53,0.0902603074772886,0.010541738136077757,2019-04-10 14:29:00
126,0.025782627865961198,-0.001233565816899151,2019-04-10 14:30:00
72,0.05594135802469136,0.018421191077441074,2019-04-10 14:31:00
130,0.018076923076923074,0.004125874125874126,2019-04-10 14:32:00
75,0.06635185185185186,0.0022525252525252507,2019-04-10 14:33:00
58,0.027586206896551727,0.005143025078369906,2019-04-10 14:34:00
130,0.03435897435897436,0.00976107226107226,2019-04-10 14:35:00
131,0.08325719022283908,0.012162657105405195,2019-04-10 14:36:00
67,0.08394693200663352,0.016288444142921753,2019-04-10 14:37:00
133,0.05463659147869674,0.0083433014354067,2019-04-10 14:38:00
76,0.04312865497076023,0.006891281233386497,2019-04-10 14:39:00
129,0.062047803617571055,0.009058609349307025,2019-04-10 14:40:00
132,0.049214365881032555,0.009095054076114682,2019-04-10 14:41:00
132,0.07452861952861954,0.013242366850321397,2019-04-10 14:42:00
57,0.042787524366471735,0.011793372319688111,2019-04-10 14:43:00
138,0.02608695652173913,0.004806671790367443,2019-04-10 14:44:00
128,0.05073784722222222,0.012997159090909092,2019-04-10 14:45:00
133,0.044527986633249785,0.007361206045416572,2019-04-10 14:46:00
130,0.04995726495726496,0.01141656954156954,2019-04-10 14:47:00
62,0.0651689708141321,0.010373027510124285,2019-04-10 14:48:00
196,0.029499716553287984,0.006216501752216038,2019-04-10 14:49:00
66,0.021212121212121213,0.004864937251300888,2019-04-10 14:50:00
129,0.036681739879414296,0.006403179077597681,2019-04-10 14:51:00
143,0.029254079254079256,-0.00046443455534364575,2019-04-10 14:52:00
207,0.03141438539989265,0.011189674523007856,2019-04-10 14:53:00
141,0.031776989755713164,0.011762124794039689,2019-04-10 14:54:00
148,0.03834459459459459,0.008861631517881519,2019-04-10 14:55:00
210,0.020105820105820106,0.006642015392015392,2019-04-10 14:56:00
213,0.01963496467017594,0.0023555389576516332,2019-04-10 14:57:00
137,0.047688564476885645,0.012383414436334145,2019-04-10 14:58:00
239,0.03265690376569038,0.006783736951100967,2019-04-10 14:59:00
139,0.05717026378896883,0.01144502579754378,2019-04-10 15:00:00
145,0.06203065134099616,0.013076889585510277,2019-04-10 15:01:00
262,0.04074806131103841,0.007298103719859444,2019-04-10 15:02:00
257,0.04116947686986598,0.01283604527767952,2019-04-10 15:03:00
264,0.029555976430976433,0.005839168197122743,2019-04-10 15:04:00
384,0.026430224867724866,0.010012912796115922,2019-04-10 15:05:00
311,0.02135584137191854,0.006564641592776641,2019-04-10 15:06:00
341,0.017880417073965465,0.00453416126070085,2019-04-10 15:07:00
318,0.0518942797244684,0.013608314728597746,2019-04-10 15:08:00
562,0.11636269276393833,0.03153543890865955,2019-04-10 15:09:00
1172,0.14270020721599222,0.035466777723603675,2019-04-10 15:10:00
1607,0.1311094319495066,0.030380792546318373,2019-04-10 15:11:00
1760,0.12135371572871571,0.02807966843762299,2019-04-10 15:12:00
1944,0.10728661727504321,0.022323574702046926,2019-04-10 15:13:00
1947,0.10333285529741615,0.020710699518480726,2019-04-10 15:14:00
2192,0.12904606215965705,0.025885517057962316,2019-04-10 15:15:00
2098,0.11914040708964448,0.023906657735601973,2019-04-10 15:16:00
3280,0.08126702235772357,0.01725974520905924,2019-04-10 15:17:00
3432,0.07486013986013985,0.017017233082573996,2019-04-10 15:18:00
3208,0.06238851037089816,0.013149555595588952,2019-04-10 15:19:00
3433,0.05873562909482656,0.013226166149447539,2019-04-10 15:20:00
3181,0.06610421307882798,0.01317515944009185,2019-04-10 15:21:00
3017,0.05968778353639142,0.014063735632761155,2019-04-10 15:22:00
2665,0.06802788200958933,0.01354733004123248,2019-04-10 15:23:00
2746,0.06625173149663317,0.014305579202702293,2019-04-10 15:24:00
2415,0.06586624601531434,0.0127440151291083,2019-04-10 15:25:00
2263,0.07392066297722506,0.015306687224495446,2019-04-10 15:26:00
2230,0.07064732742759648,0.014742816807839234,2019-04-10 15:27:00
2256,0.07594318602906812,0.014426161469047112,2019-04-10 15:28:00
2213,0.07698197112171354,0.015311719773423344,2019-04-10 15:29:00
2356,0.08887463572788275,0.01375468738133212,2019-04-10 15:30:00
2124,0.09167559710638803,0.01631750991214268,2019-04-10 15:31:00
2323,0.07639417668474921,0.013577906703713848,2019-04-10 15:32:00
2206,0.07335003152886202,0.01362961551141515,2019-04-10 15:33:00
2150,0.07001218665055874,0.011497936172354778,2019-04-10 15:34:00
2123,0.08348561569534246,0.015466895589363802,2019-04-10 15:35:00
1822,0.09047147616988452,0.013291728243704096,2019-04-10 15:36:00
1839,0.0884600628360824,0.01789101101906975,2019-04-10 15:37:00
1722,0.08692587061925043,0.019230612915281914,2019-04-10 15:38:00
1735,0.09837575528857952,0.021718826802400292,2019-04-10 15:39:00
1491,0.10566369114155834,0.02453324323042633,2019-04-10 15:40:00
1609,0.08350753943591108,0.019876613959895505,2019-04-10 15:41:00
1490,0.09147785501225097,0.018868062213699795,2019-04-10 15:42:00
1495,0.09209254835341792,0.01780970961405744,2019-04-10 15:43:00
1472,0.09385133605072464,0.021975135183355293,2019-04-10 15:44:00
1356,0.0960740736238524,0.022717547631817537,2019-04-10 15:45:00
1339,0.09690111668267007,0.025346686754453746,2019-04-10 15:46:00
1379,0.08691786951667298,0.024990582296601154,2019-04-10 15:47:00
